Date, Close/Last, Volume, Open, High, Low
04/03/2020, $480.01, 22562080, $509.5, $515.49, $468.3901
04/02/2020, $454.47, 19858430, $481.03, $494.2599, $446.4
04/01/2020, $481.56, 13353180, $504, $513.9548, $475.1
03/31/2020, $524, 17771490, $501.25, $542.96, $497
03/30/2020, $502.13, 11998070, $510.26, $516.6471, $491.23
03/27/2020, $514.36, 14377410, $505, $525.8, $494.03
03/26/2020, $528.16, 17422080, $547.39, $560, $512.25
03/25/2020, $539.25, 21222750, $545.25, $557, $511.11
03/24/2020, $505, 22895170, $477.3, $513.69, $474
03/23/2020, $434.29, 16454550, $433.6, $441.9999, $410.5
03/20/2020, $427.53, 28285500, $438.2, $477, $425.79
03/19/2020, $427.64, 30195460, $374.697, $452, $358.46
03/18/2020, $361.22, 23786160, $389, $404.86, $350.51
03/17/2020, $430.2, 23994580, $440.01, $471.85, $396
03/16/2020, $445.07, 20489460, $469.4997, $494.8699, $442.17
03/13/2020, $546.62, 22640250, $595, $607.57, $502
03/12/2020, $560.55, 18909050, $580.89, $594.5, $546.25
03/11/2020, $634.23, 13413590, $640.2, $653.58, $613
03/10/2020, $645.33, 15594440, $659.43, $668, $608
03/09/2020, $608, 17073740, $605.39, $662.998, $605
03/06/2020, $703.48, 12662920, $690.004, $707, $684.27
03/05/2020, $724.54, 10852660, $723.77, $745.75, $718.07
03/04/2020, $749.5, 15048980, $763.9603, $766.52, $724.7345
03/03/2020, $745.51, 25784000, $805, $806.98, $716.1106
03/02/2020, $743.62, 20194990, $711.26, $743.69, $686.67
02/28/2020, $667.99, 24564170, $629.7, $690.52, $611.52
02/27/2020, $679, 24277160, $730, $739.77, $669
02/26/2020, $778.8, 14153840, $782.5, $813.31, $776.11
02/25/2020, $799.91, 17290480, $849, $856.6, $787
02/24/2020, $833.79, 15192160, $839, $863.5, $822.2
02/21/2020, $901, 14339450, $906.98, $913.06, $880.45
02/20/2020, $899.41, 17634890, $911.95, $912, $859.94
02/19/2020, $917.42, 25422960, $923.5, $944.78, $901.02
02/18/2020, $858.4, 16698370, $841.6, $860, $832.36
02/14/2020, $800.03, 15693710, $787.22, $812.97, $785.5
02/13/2020, $804, 26289350, $741.84, $818, $735
02/12/2020, $767.29, 12022470, $777.87, $789.75, $763.37
02/11/2020, $774.38, 11697470, $768.79, $783.5061, $758
02/10/2020, $771.28, 24689160, $800, $819.99, $752.4
02/07/2020, $748.07, 17063520, $730.55, $769.75, $730
02/06/2020, $748.96, 39880750, $699.92, $795.83, $687
02/05/2020, $734.7, 48423840, $823.26, $845.98, $704.1106
02/04/2020, $887.06, 60938760, $882.96, $968.9899, $833.88
02/03/2020, $780, 47233500, $673.69, $786.14, $673.52
01/31/2020, $650.57, 15719270, $640, $653, $632.52
01/30/2020, $640.81, 29005680, $632.42, $650.88, $618
01/29/2020, $580.99, 18216670, $575.69, $589.7999, $567.43
01/28/2020, $566.9, 11788490, $568.49, $576.81, $558.08
01/27/2020, $558.02, 13608070, $541.99, $564.44, $539.28
01/24/2020, $564.82, 14353600, $570.63, $573.86, $554.26
01/23/2020, $572.2, 19651040, $564.25, $582, $555.6027
01/22/2020, $569.56, 31369030, $571.89, $594.5, $559.1
01/21/2020, $547.2, 17803470, $530.25, $548.58, $528.41
01/17/2020, $510.5, 13629070, $507.61, $515.6699, $503.16
